id,synsetId,subSynsetId
004118,04074963,04074963
028181,04074963,04074963
032811,04074963,04074963
019562,04074963,04074963
039909,04074963,04074963
016602,04074963,04074963
019230,04074963,04074963
042859,04074963,04074963
037615,04074963,04074963
030964,04074963,04074963
015826,04074963,04074963
050323,02871439,02871439
021011,02871439,02871439
019254,02871439,02871439
001481,02871439,02871439
048700,02871439,02871439
015940,02871439,02871439
021863,02871439,02871439
006103,02871439,02871439
007931,02871439,02871439
006130,02871439,02871439
047079,02871439,02871439
013408,02871439,02871439
010990,02871439,02871439
023087,02871439,02871439
036021,02871439,02871439
010196,02871439,02871439
006572,02871439,02871439
033198,02871439,02871439
046983,02871439,02871439
012746,02871439,02871439
036267,02871439,02871439
031447,02871439,02871439
047697,02871439,02871439
040481,02871439,02871439
043586,02871439,02871439
036232,02871439,02871439
023126,02871439,02871439
002638,02871439,02871439
019199,02871439,02871439
006899,02871439,02871439
050169,02871439,02871439
034400,02871439,02871439
028911,02871439,02871439
030029,02871439,02871439
045431,02871439,02871439
018519,02871439,02871439
019487,02871439,02871439
051355,02871439,02871439
034807,02871439,02871439
021554,02871439,02871439
041226,02871439,02871439
036563,02871439,02871439
049374,02871439,02871439
005465,02871439,02871439
026415,02871439,02871439
010132,02871439,02871439
010484,02871439,02871439
010577,02871439,02871439
027579,02871439,02871439
034819,02871439,02871439
028151,02871439,02871439
027801,02871439,02871439
034994,02871439,02871439
021215,02871439,02871439
026879,02871439,02871439
008396,02871439,02871439
011698,02871439,02871439
016163,02871439,02871439
027487,02871439,02871439
016639,02871439,02871439
006886,02871439,02871439
036336,02871439,02871439
017449,02871439,02871439
004682,02871439,02871439
034052,02871439,02871439
022760,02871439,02871439
039904,02871439,02871439
016611,02871439,02871439
044954,02871439,02871439
024242,02871439,02871439
015821,02871439,02871439
009974,02871439,02871439
050792,02871439,02871439
005277,02871439,02871439
018195,02871439,02871439
017532,02871439,02871439
044673,02871439,02871439
044354,02871439,02871439
046835,02871439,02871439
020631,02871439,02871439
022769,02871439,02871439
018825,02871439,02871439
051391,02871439,02871439
042807,02871439,02871439
014325,02871439,02871439
006116,02871439,02871439
005899,02871439,02871439
008834,02871439,02871439
046311,02871439,02871439
020582,02871439,02871439
024360,02871439,02871439
044563,02871439,02871439
017849,02871439,02871439
015047,02871439,02871439
023533,02871439,02871439
022754,02871439,02871439
021509,02871439,02871439
037691,02871439,02871439
012600,02871439,02871439
027385,02871439,02871439
039436,02871439,02871439
007922,02871439,02871439
016922,02871439,02871439
001000,02871439,02871439
014163,02871439,02871439
024222,02871439,02871439
024563,02871439,02871439
032537,02871439,02871439
004844,02871439,02871439
018109,02871439,02871439
023994,02871439,02871439
032743,02871439,02871439
027441,02871439,02871439
011249,02871439,02871439
012669,02871439,02871439
051243,02871439,02871439
038269,02871439,02871439
042089,02871439,02871439
027351,02871439,02871439
007216,02871439,02871439
038027,02871439,02871439
020775,02871439,02871439
047746,02871439,02871439
006392,02871439,02871439
008038,02871439,02871439
004064,02871439,02871439
016096,02871439,02871439
027541,02871439,02871439
045479,02871439,02871439
011380,02871439,02871439
005173,02871439,02871439
000133,02871439,02871439
039155,02871439,02871439
013700,02871439,02871439
044297,02871439,02871439
039765,02871439,02871439
025100,02871439,02871439
017866,02871439,02871439
025887,02871439,02871439
021552,02871439,02871439
019362,02871439,02871439
024902,02871439,02871439
033423,02871439,02871439
041449,02871439,02871439
025598,02871439,02871439
041113,02871439,02871439
042996,02871439,02871439
046254,02871439,02871439
015617,02871439,02871439
050704,02871439,02871439
006498,02871439,02871439
042670,02871439,02871439
034085,02871439,02871439
046159,02871439,02871439
029036,02871439,02871439
039856,02871439,02871439
002769,02871439,02871439
003962,02871439,02871439
045647,02871439,02871439
026319,02871439,02871439
010681,02871439,02871439
022191,02871439,02871439
046697,02871439,02871439
013301,02871439,02871439
032270,02871439,02871439
032111,02871439,02871439
038883,02871439,02871439
026248,02871439,02871439
026173,02871439,02871439
009473,02871439,02871439
043642,02871439,02871439
022539,02871439,02871439
048106,02871439,02871439
008575,02871439,02871439
002983,02871439,02871439
002426,02871439,02871439
041605,02871439,02871439
000626,02871439,02871439
040028,02871439,02871439
050850,02871439,02871439
027531,02871439,02871439
027568,02871439,02871439
025925,02871439,02871439
022685,02871439,02871439
003593,02871439,02871439
000774,02871439,02871439
014937,02871439,02871439
003344,02871439,02871439
021262,02871439,02871439
017966,02871439,02871439
034339,02871439,02871439
043712,02871439,02871439
013786,02871439,02871439
031564,02871439,02871439
014527,02871439,02871439
014021,02871439,02871439
033834,02871439,02871439
016394,02871439,02871439
051503,02871439,02871439
050947,02871439,02871439
023096,02871439,02871439
031860,02871439,02871439
036362,02871439,02871439
039422,02871439,02871439
049783,02871439,02871439
045589,02871439,02871439
044854,02871439,02871439
019593,02871439,02871439
016459,02871439,02871439
033888,02871439,02871439
029553,02871439,02871439
050289,02871439,02871439
003909,02871439,02871439
000060,02871439,02871439
005174,02871439,02871439
020869,02871439,02871439
031087,02871439,02871439
038473,02871439,02871439
027380,02871439,02871439
039945,02871439,02871439
012586,02871439,02871439
002429,02871439,02871439
039158,02871439,02871439
021699,02871439,02871439
004126,02871439,02871439
008348,02871439,02871439
038629,02871439,02871439
031351,02871439,02871439
032148,02871439,02871439
001185,02871439,02871439
018268,02871439,02871439
020204,03207941,03207941
030784,03207941,03207941
037846,03207941,03207941
044866,03207941,03207941
029288,03207941,03207941
027396,02747177,02747177
005815,02747177,02747177
007893,02747177,02747177
047963,02747177,02747177
038513,02747177,02747177
019637,02747177,02747177
031474,02747177,02747177
014398,02747177,02747177
020796,02801938,02801938
